Variable,Value,Min,Max,Assumption,Calibrated Output,Climate Impact Parameter,Discrete Outflow,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Output,Parameter,Policy,Unit
"Forest.Initial Mature forest aboveground biomass[95]",544.945848984,,,,,,,,1,,1,,,,
"Forest.Initial Mature forest aboveground biomass[96]",500.870103161,,,,,,,,1,,1,,,,
"Forest.Initial Mature forest aboveground biomass[97]",493.741992451,,,,,,,,1,,1,,,,
"Forest.Initial Mature forest aboveground biomass[98]",560.086037259,,,,,,,,1,,1,,,,
"Forest.Initial Mature forest aboveground biomass[99]",469.481325212,,,,,,,,1,,1,,,,
"Forest.Initial Mature forest aboveground biomass[100]",480.160355109,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[1]",26.1639198774,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[2]",28.1702847861,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[3]",25.1294866407,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[4]",24.4120775927,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[5]",31.0934976231,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[6]",28.0311425114,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[7]",31.1189864498,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[8]",24.6142768022,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[9]",28.2474988242,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[10]",28.2305889117,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[11]",23.7442649125,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[12]",24.5088412441,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[13]",33.5106506346,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[14]",28.9276900242,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[15]",25.3237222427,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[16]",26.4749657069,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[17]",27.4261117442,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[18]",34.2492594101,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[19]",26.5931560565,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[20]",34.9575942116,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[21]",29.1851911039,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[22]",30.8572263865,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[23]",32.4364945101,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[24]",31.7585366492,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[25]",23.0896174172,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[26]",32.3264062473,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[27]",28.7241200396,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[28]",24.3216948559,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[29]",34.4102041945,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[30]",33.441690062,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[31]",26.1227923971,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[32]",26.3051003019,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[33]",25.4329583107,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[34]",26.9966734143,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[35]",25.9074120834,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[36]",31.6208341824,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[37]",28.8825764273,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[38]",26.6593437532,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[39]",35.3600678083,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[40]",27.1517367343,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[41]",28.6553754954,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[42]",30.4391260764,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[43]",29.1289323838,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[44]",30.2139363894,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[45]",28.4580982474,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[46]",27.8318121843,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[47]",26.532893798,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[48]",29.4982998766,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[49]",31.3188241836,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[50]",25.7986581254,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[51]",27.2202896795,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[52]",25.7049921977,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[53]",30.1743054584,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[54]",27.1093350182,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[55]",24.9101655675,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[56]",26.8616246223,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[57]",29.155875133,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[58]",28.49780737,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[59]",24.430905164,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[60]",23.4753176558,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[61]",23.8405875084,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[62]",24.1972539661,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[63]",24.0579224963,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[64]",26.5644302013,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[65]",26.5691278152,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[66]",30.9555933488,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[67]",26.1018622206,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[68]",25.9161612994,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[69]",25.633258797,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[70]",32.3931022662,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[71]",28.2968048904,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[72]",31.3737977381,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[73]",25.43592925,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[74]",35.5082260062,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[75]",29.1060408129,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[76]",26.6521265792,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[77]",26.0338058713,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[78]",24.5905743378,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[79]",31.4730486574,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[80]",27.3751241942,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[81]",23.9723904269,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[82]",31.2753597337,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[83]",23.9622534078,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[84]",27.5019095149,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[85]",32.159665408,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[86]",31.4004313131,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[87]",31.7243525373,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[88]",28.7030393113,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[89]",28.1963852746,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[90]",27.7432854612,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[91]",33.3754998506,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[92]",26.8548334939,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[93]",32.1812296024,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[94]",29.8323835567,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[95]",31.3060235686,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[96]",25.6671857336,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[97]",31.4217169375,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[98]",31.0791327752,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[99]",24.3651645226,,,,,,,,1,,1,,,,
"Forest.Initial Young forest aboveground biomass[100]",34.4889071706,,,,,,,,1,,1,,,,
"Forest.Mature forest aboveground biomass adaptation time[1]",25,10,50,,,,,,,1,,,,,
"Forest.minimum fraction of 1980 tree primary production",0.2,,,1,,,,,,,1,,,,
"Forest.minimum fraction of normal mature forest aboveground biomass per area",0.25,,,1,,,,,,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[1]",0.125247201599685,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[2]",0.125176189046315,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[3]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[4]",0.134581635000723,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[5]",0.112846905704319,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[6]",0.143184800471283,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[7]",0.119138727733213,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[8]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[9]",0.109274763701698,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[10]",0.139107816434978,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[11]",0.142995399056519,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[12]",0.1542029526588,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[13]",0.138094309632773,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[14]",0.138226892309382,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[15]",0.139539400449437,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[16]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[17]",0.130008135932538,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[18]",0.120572159807044,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[19]",0.146670831783783,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[20]",0.140037846345431,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[21]",0.141203596314162,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[22]",0.112216829359536,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[23]",0.119138727733213,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[24]",0.145150350673933,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[25]",0.1542029526588,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[26]",0.121932294124257,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[27]",0.111220674110398,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[28]",0.12404471094436,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[29]",0.123428405936787,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[30]",0.116773801097563,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[31]",0.116507583869999,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[32]",0.146193113945519,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[33]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[34]",0.138815345667245,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[35]",0.151127545956394,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[36]",0.145376829866081,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[37]",0.144461336013913,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[38]",0.144574840691586,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[39]",0.113056988858633,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[40]",0.111739940492851,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[41]",0.112232738848022,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[42]",0.122355457430598,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[43]",0.134463903797773,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[44]",0.141110581687955,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[45]",0.134308233686711,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[46]",0.112232738848022,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[47]",0.1338685768171,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[48]",0.117172054716598,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[49]",0.112080802783227,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[50]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[51]",0.137859528624046,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[52]",0.115483228161011,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[53]",0.114021078191539,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[54]",0.123274146861273,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[55]",0.145772415794426,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[56]",0.126348449182265,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[57]",0.144250208857999,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[58]",0.116507583869999,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[59]",0.142195806981982,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[60]",0.125728536502106,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[61]",0.125948867401688,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[62]",0.154757700006967,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[63]",0.125948867401688,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[64]",0.116507583869999,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[65]",0.137764659595757,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[66]",0.121032901697418,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[67]",0.134789618098744,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[68]",0.125267137388367,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[69]",0.115865955397274,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[70]",0.141258247311903,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[71]",0.116507583869999,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[72]",0.133902216748356,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[73]",0.145772415794426,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[74]",0.140759047359214,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[75]",0.151866651428294,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[76]",0.144879648055134,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[77]",0.125258608122212,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[78]",0.142995399056519,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[79]",0.127141929532587,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[80]",0.149532732019573,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[81]",0.13795820878271,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[82]",0.121975089118236,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[83]",0.1542029526588,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[84]",0.130008135932538,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[85]",0.153615604708231,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[86]",0.12780515111153,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[87]",0.12598709741601,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[88]",0.123232908834903,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[89]",0.12099689438266,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[90]",0.121600036533652,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[91]",0.146638536029827,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[92]",0.112173601259938,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[93]",0.129640808959376,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[94]",0.116611505795609,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[95]",0.140967322811613,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[96]",0.134789618098744,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[97]",0.134274390637514,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[98]",0.148477289380865,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[99]",0.135846678920123,,,,,,,,1,,1,,,,
"Forest.Normal mature forest aboveground biomass per area[100]",0.126711761199471,,,,,,,,1,,1,,,,
"Forest.Reduction factor for initial value of maximum mature forest aboveground biomass per area[1]",0.189874110518759,0.1,0.5,,,,,,,1,,,,,
"Forest.STA maximum aboveground biomass per area parameter[1]",0.412792440704214,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[2]",0.411492014444244,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[3]",0.399430937925377,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[4]",0.4741287391713,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[5]",0.411406164279322,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[6]",0.333737597936823,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[7]",0.389679578602896,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[8]",0.495766644387101,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[9]",0.404720857761217,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[10]",0.455019615098458,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[11]",0.499980256785099,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[12]",0.444676700176242,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[13]",0.495193891944741,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[14]",0.487814295009436,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[15]",0.488885532398416,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[16]",0.356484986602859,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[17]",0.377885861990834,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[18]",0.332587934492153,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[19]",0.458254002196687,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[20]",0.46986723311655,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[21]",0.383261011892738,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[22]",0.455883617999386,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[23]",0.460215305136532,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[24]",0.483862505580033,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[25]",0.459810947694293,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[26]",0.48754476248853,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[27]",0.421070151134022,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[28]",0.374432815828722,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[29]",0.432031939914907,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[30]",0.442076170230846,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[31]",0.436439430271556,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[32]",0.467024635627233,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[33]",0.35042394527924,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[34]",0.450128212627947,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[35]",0.499804109517629,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[36]",0.38311577053854,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[37]",0.479162386371372,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[38]",0.465598310362948,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[39]",0.453003851168317,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[40]",0.370367217372858,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[41]",0.452457401560688,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[42]",0.366853597317185,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[43]",0.39914410805604,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[44]",0.458173603513845,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[45]",0.451564876212412,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[46]",0.343310614873932,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[47]",0.3770785608419,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[48]",0.377197522741337,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[49]",0.481501280659217,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[50]",0.411173464896644,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[51]",0.479171531707365,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[52]",0.394641171238756,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[53]",0.492803427137911,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[54]",0.485917041176927,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[55]",0.416189982840832,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[56]",0.309279391618179,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[57]",0.370429856431024,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[58]",0.364705712430892,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[59]",0.389355975498804,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[60]",0.402745761777579,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[61]",0.325206226047292,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[62]",0.359007153694974,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[63]",0.306659887267342,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[64]",0.444454065329042,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[65]",0.453990440682909,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[66]",0.432886726759931,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[67]",0.327443009616457,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[68]",0.468773092501659,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[69]",0.302577699968403,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[70]",0.464276995470512,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[71]",0.35701823605557,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[72]",0.473600224779497,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[73]",0.448079268592465,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[74]",0.484773357410413,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[75]",0.472764849808799,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[76]",0.314896583465328,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[77]",0.49615629659695,,,,,,,,1,,1,,,,
"Forest.STA maximum aboveground biomass per area parameter[78]",0.302959204540672,,,,,,,,1,,1,,,,
